Geneid	3FG1	3FG2	3FG3	3FS1	3FS2	3FS3	3MG1	3MG2	3MG3	3MS1	3MS2	3MS3	3WM1	3WM2	3WM3
remanei_genome_00005908	7585	5935	9068	22748	24360	51119	2720	2421	2760	9485	43849	20816	49827	49917	47291
remanei_genome_00005909	758	909	577	738	576	696	200	140	114	615	573	403	1185	831	721
remanei_genome_00005911	458	407	147	444	231	297	68	31	52	239	292	198	674	533	409
remanei_genome_00005921	153	101	92	1567	927	2216	267	281	293	3851	3346	1531	2434	2325	1652
remanei_genome_00005922	162	119	104	1405	764	4102	359	214	619	1835	4290	3712	8464	8354	7429
remanei_genome_00005924	71	54	89	620	254	1290	299	236	304	1553	2033	967	393	282	341
remanei_genome_00005926	46	32	14	197	91	273	16	4	10	244	395	131	465	583	630
remanei_genome_00005929	890	1032	1025	4303	3688	10578	1450	835	1129	6615	8088	5572	9562	8365	6258
remanei_genome_00005905	4274	5577	13198	21554	19295	87659	5986	6555	10816	30205	85844	44921	43704	31995	27227
remanei_genome_00005933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
remanei_genome_00005934	1263	271	475	1894	1343	2939	1035	761	616	2644	2950	1665	1609	1449	1334
remanei_genome_00005937	2256	1110	568	5224	3516	5833	1337	626	831	4845	4858	3568	8093	7551	6656
remanei_genome_00005938	10	6	4	9	16	69	15	5	3	46	133	71	61	21	33
remanei_genome_00005943	28	18	18	227	229	702	24	54	44	711	817	273	366	368	324
remanei_genome_00005944	3555	3167	2367	3799	3627	5108	886	300	622	2433	3250	2776	6362	5589	5200
remanei_genome_00005946	10	6	4	98	62	94	22	6	6	322	292	128	750	1180	1106
remanei_genome_00005948	2	4	2	10	2	14	8	4	2	28	17	4	24	4	0
remanei_genome_00005949	394	454	892	3212	3721	11511	844	676	1168	3766	12512	7957	4462	4242	3884
remanei_genome_00005951	400	98	106	1526	490	915	585	196	418	2646	1872	1615	4184	3987	4232
remanei_genome_00005952	21	32	10	112	47	180	12	18	46	133	225	101	778	687	494
remanei_genome_00005931	156	251	222	441	1099	1409	13	25	77	130	5765	456	25905	31999	30645
remanei_genome_00005932	31	9	14	123	68	94	16	22	28	338	585	176	860	985	665
remanei_genome_00005935	4586	2076	1400	15659	8063	12436	3429	2079	2545	12098	17451	9884	50368	48314	46382
remanei_genome_00005936	445	221	38	2256	1054	1581	290	219	242	1581	2250	1287	7832	6820	7292
remanei_genome_00005939	3	1	8	22	14	92	5	9	19	25	742	45	1101	1037	869
remanei_genome_00005940	16	6	16	49	21	140	4	19	28	53	2192	75	3236	4167	4535
remanei_genome_00005941	13	22	8	173	88	247	6	4	19	265	166	105	126	116	53
