Geneid	8FG1	8FG2	8FG3	8FS1	8FS2	8FS3	8MG1	8MG2	8MG3	8MS1	8MS2	8MS3	8WM1	8WM2	8WM3
latens_genome_00001842	14331	20953	23271	23637	14382	19695	2169	1440	665	15339	8630	4139	4834	6608	3688
latens_genome_00001850	0	0	0	0	2	0	0	0	0	5	0	2	18	2	6
latens_genome_00001851	0	6	0	9	16	10	0	4	0	2	30	8	10	6	0
latens_genome_00001852	16	0	6	14	14	40	175	272	21	65	68	50	51	31	12
latens_genome_00001853	11094	11013	884	55320	67415	8753	8386	4266	2247	28138	23703	12116	99767	74992	126638
latens_genome_00001854	19	110	44	89	764	154	31	30	2	181	338	107	2426	1544	1365
latens_genome_00001858	22464	19782	21251	16746	16542	13731	5638	2918	3154	3662	3412	4994	16289	19545	14999
latens_genome_00001860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001863	1826	22	360	682	20	254	33927	31579	17701	9652	10766	7165	8889	3826	4160
latens_genome_00001864	8	4	2	10	0	0	156	42	29	126	40	19	35	15	10
latens_genome_00001843	22332	25600	18702	17683	19468	15587	6714	3541	5045	4757	4692	6213	8364	10819	7552
latens_genome_00001844	33701	41427	41760	30561	28940	25072	7541	6550	3828	11944	9313	7664	9510	14158	9451
latens_genome_00001845	21327	30988	31568	15852	17183	10979	3316	2432	4372	3163	2462	4124	4908	7755	4286
latens_genome_00001847	115	74	124	1326	834	1070	194	156	154	3566	2391	3102	1090	818	874
latens_genome_00001848	14	8	14	40	38	146	28	18	12	66	50	25	84	71	80
latens_genome_00001849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001855	648	276	294	1496	1062	1342	356	106	148	764	870	1252	2098	1999	1900
latens_genome_00001856	7180	25394	5310	24216	110086	43338	8119	3096	11063	16288	15426	70465	62625	56878	47961
latens_genome_00001857	42984	33361	38938	27348	23864	25625	6189	2834	3558	3139	2883	4746	18302	35639	19342
latens_genome_00001859	3209	3460	4060	2695	2436	2192	286	176	259	766	823	1569	3100	4176	2681
latens_genome_00001861	23624	26120	22254	19287	18699	15396	15707	12968	6865	5700	6275	5692	13723	18184	10427
latens_genome_00001862	1759	8	648	630	8	176	41948	86027	20975	16676	17052	6220	6986	3438	3324
latens_genome_00001865	248	217	139	450	482	445	40	18	34	180	225	513	2183	1543	971
latens_genome_00001846	4	0	2	21	3	1	11	6	0	16	18	4	3	7	12
latens_genome_00001605	20	6	26	89	86	140	24	86	1	94	292	70	458	398	381
latens_genome_00001609	2	0	0	4	8	10	2	0	2	6	24	14	36	11	12
latens_genome_00001610	0	2	0	0	10	0	10	2	2	16	20	4	12	0	2
latens_genome_00001611	4813	7260	6471	3648	4406	2779	211	108	288	158	198	791	653	1655	702
latens_genome_00001614	10	4	4	108	38	120	52	47	12	112	136	66	180	226	174
latens_genome_00001615	6	0	0	54	26	56	6	2	14	44	66	30	28	21	22
latens_genome_00001616	0	2	4	14	6	20	6	30	4	124	304	24	34	18	28
latens_genome_00001628	0	0	2	12	10	2	0	4	1	8	34	6	14	12	14
